aboard,cn_in,date,fatalities,flight,ground,location,operator,registration,route,summary,time,type
21.0,,-1661011200,21.0,,0.0,"Near Texel Island, North Sea",Military - German Navy,,,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",05:15,Zeppelin L-22 (airship)
24.0,,-1658332800,24.0,,0.0,"Off Vlieland Island, North Sea",Military - German Navy,,,Shot down by British aircraft.,08:45,Zeppelin L-43 (airship)
18.0,,-1652457600,18.0,,0.0,Off western Denmark,Military - German Navy,,,Shot down by British aircraft.,07:00,Zeppelin L-23 (airship)
18.0,,-1647273600,18.0,,0.0,"Near Luneville, France",Military - German Navy,,,Shot down by French anti-aircraft fire.,07:45,Zeppelin L-44 (airship)
23.0,,-1632675600,23.0,,0.0,Over the Mediterranean,Military - German Navy,,,Exploded and crashed into the sea off the southern coast of Italy.,21:30,Zeppelin L-59 (airship)
22.0,,-1629824400,22.0,,0.0,"Off Helgoland Island, Germany",Military - German Navy,,,"Shot down by British aircraft crashing from a height of 17,000 ft.",,Zeppelin L-70 (airship)
19.0,,-1621789200,19.0,,0.0,"Ameland Island, North Sea",Military - German Navy,,,Shot down by british aircraft.,10:00,Zeppelin L-53 (airship)
1.0,,-1610812800,1.0,,0.0,"Elizabeth, New Jersey",US Aerial Mail Service,97,,,,De Havilland DH-4
1.0,,-1596992400,1.0,,0.0,"Cleveland, Ohio",US Aerial Mail Service,61,,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,,De Havilland DH-4
1.0,,-1592240400,1.0,,0.0,"Dix Run, Pennsylvania",US Aerial Mail Service,82,,,,De Havilland DH-4
1.0,,-1585760400,1.0,,0.0,"Newcastle, England",Aircraft Transport and Travel,,,,,De Havilland DH-4
1.0,,-1584723600,1.0,,0.0,"Cantonsville, Maryland",US Aerial Mail Service,32,,,,Curtiss R-4LM
,,-1584205200,,,,English Channel,Aircraft Transport and Travel,G-EAHG,,,,De Havilland DH-4
1.0,,-1583337600,1.0,,0.0,"Long Valley, New Jersey",US Aerial Mail Service,77,,,,De Havilland DH.4
1.0,,-1571932800,1.0,,0.0,"New Paris, Indiana",US Aerial Mail Service,65,,,,De Havilland DH-4
1.0,,-1570204800,1.0,,0.0,"Newark, New Jersey",US Aerial Mail Service,72,,,,De Havilland DH-4
2.0,,-1569254400,1.0,,0.0,"Newark, New Jersey",US Aerial Mail Service,49,,,,Curtiss R-4LM
2.0,,-1569168000,1.0,,0.0,"Heller Field, New Jersey",US Aerial Mail Service,44,,,,Curtiss JN-4H
2.0,,-1566489600,1.0,,0.0,"Oskaloosa, Iowa",US Aerial Mail Service,79,,,,De Havilland DH-4
1.0,,-1564329600,1.0,,0.0,"Cleveland, Ohio",US Aerial Mail Service,204,,,,De Havilland DH-4
1.0,,-1558195200,1.0,,0.0,"Bedford, England",By Air,G-EALW,,,,Armstrong-Whitworth F-K-8
1.0,,-1558195200,1.0,,0.0,"College Park, Maryland",US Aerial Mail Service,317,,,,De Havilland DH-4
2.0,,-1556812800,2.0,,0.0,"Morristown, New Jersey",US Aerial Mail Service,305,,,,Junkers JL-6
2.0,,-1555603200,2.0,,0.0,"Pemberville, Ohio",US Aerial Mail Service,308,,,,Junkers F-13
1.0,,-1554566400,1.0,,0.0,"Hillersburg, Pennsylvania",US Aerial Mail Service,316,,,,De Havilland DH-4
2.0,31,-1554134400,2.0,,0.0,"Off Port Vendres, France",Latecoere Airlines,F-ALAI,,,,Salmson 2-A-2
2.0,20,-1553875200,2.0,,0.0,"Valencia, Spain",Latecoere Airlines,F-ALTA,,Crashed while landing.,,Breguet 14
1.0,,-1553011200,1.0,,0.0,"Batavia, Illinois",US Aerial Mail Service,76,,,,De Havilland DH-4
1.0,178,-1551024000,1.0,,0.0,"Tie Siding, Wyoming",US Aerial Mail Service,,,,,De Havilland DH-4
8.0,HP-25,-1547827200,4.0,,0.0,"Cricklewood, England",Handley Page Transport,G-EAMA,,Crashed into a tree on take off in fog.,,Handley Page HP-16
1.0,,-1546963200,1.0,,0.0,"Barcelona, Spain",Aeropostale,F-ALBO,,,,Breguet 14
1.0,,-1543420800,1.0,,0.0,"Mendotta, Minnisota",US Aerial Mail Service,130,,,,De Havilland DH-4
3.0,,-1542902400,3.0,,0.0,"La Crosse, Wisconsin",US Aerial Mail Service,301,,,,Junkers F-13
2.0,,-1542384000,2.0,,0.0,Off Gibraltar,Aeropostale,F-ALBA,,,,Breguet 14
1.0,,-1541779200,1.0,,0.0,"Elko, Nevada",US Aerial Mail Service,67,,,,De Havilland DH-4
2.0,,-1538064000,1.0,,0.0,"Point Cook, Australia",Military - Royal Australian Air Force,H3021,,,,
1.0,,-1536768000,1.0,,0.0,"Mitchel Field, NY",US Aerial Mail Service,160,,,,De Havilland DH-4
1.0,,-1536076800,1.0,,0.0,"Cleveland, Ohio",US Aerial Mail Service,196,,,,De Havilland DH-4
1.0,,-1534521600,1.0,,0.0,"Rock Springs, Wyoming",US Aerial Mail Service,176,,,,
1.0,,-1529337600,1.0,,0.0,"San Francisco, California",US Aerial Mail Service,222,,,,De Havilland DH-4
2.0,,-1526832000,2.0,,0.0,"Toulouse, France",Aeropostale,F-ALBI,,,,Breguet 14
46.0,R-38,-1525968000,46.0,,1.0,"River Humber, England",Military - Royal Airship Works,R-38,,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,17:40,Royal Airship Works ZR-2 (airship)
5.0,160,-1524844800,5.0,,0.0,"Paris, France",Franco-Roumaine,F-ADCD,Varsovie - Strasbourg - Paris,Crashed while making an approach to Le Bourget Airport in Paris.,,Potez IX
3.0,6116,-1517068800,3.0,,0.0,"Near Murchinson River, Australia",West Australian Airways,G-AUDI,,,,Bristol 28 Tourer
5.0,HP-43,-1513612800,5.0,,5.0,"Paris, France",Handley Page Transport,G-EATN,,Crashed at Le Bourget field.,,Handley Page O/10
45.0,,-1510329600,34.0,,0.0,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,,Dirigible Roma (airship)
7.0,4,-1506441600,7.0,,0.0,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,G-EAOW/FGEAD,,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",,de Havilland DH-18 / Farman F-60 Goliath
17.0,,-1506355200,17.0,,0.0,"Pao Ting Fou, China",,,,All seventeen aboard were Chinese nationals.,,
3.0,,-1505923200,3.0,,0.0,"Brooklands, England",Vickers,G-EBBZ,,,,Vickers Viking
3.0,1254,-1501516800,3.0,,0.0,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,F-CMAY,,,,Bleriot Spad 27
3.0,,-1496937600,3.0,,0.0,"Cadix, Spain",Grands Express Aeriens,,,,,Breguet 14
1.0,,-1493222400,1.0,,0.0,"Indianapolis, Indiana",US Aerial Mail Service,227,,,,De Havilland DH-4
4.0,,-1491062400,4.0,,0.0,"Venice, Italy",,G-EAYT,,,,de Havilland DH-9
2.0,,-1489075200,2.0,,0.0,"Larache, Morocco",Grands Express Aeriens,,,,,Breguet 14
1.0,,-1485705600,1.0,,0.0,"Fez, Morocco",Grands Express Aeriens,,,,,Breguet 14
4.0,,-1482422400,3.0,,0.0,"Ajaccio, France",Amee de l'Air,F-AEIB,,,,Lioré-et-Olivier H-13
1.0,,-1481817600,1.0,,0.0,"Barcelona, Spain",Grands Express Aeriens,F-ALJU,,,,Breguet 14
1.0,,-1481731200,1.0,,0.0,"Cheyenne, Wyoming",US Aerial Mail Service,223,,,,De Havilland DH-4
1.0,,-1478361600,1.0,,0.0,"Meadville, Pennsylvania",US Aerial Mail Service,291,,,,De Havilland DH-4
6.0,,-1471708800,6.0,,0.0,"Monsures, France",Grands Express Aeriens,F-AEBY,,,,Farman F-60 Goliath
2.0,,-1462636800,2.0,,0.0,"Bucharest, Romania",Campagnie France Roumaine,F-AEGN,,,,Blériot Spad 46
1.0,,-1461686400,1.0,,0.0,"Colton, Ohio",US Aerial Mail Service,283,,,,De Havilland DH-4
6.0,29,-1461081600,6.0,,0.0,"Berks, England",Daimler Airways,G-EBBS,,,,de Havilland DH-34
4.0,,-1455465600,2.0,,0.0,Russia,CCCP,D-257,,,,Junkers F-13
1.0,,-1453910400,1.0,,0.0,"Castalia, Ohio",US Aerial Mail Service,318,,,,De Havilland DH-4
52.0,,-1452441600,52.0,,0.0,Over the Mediterranean Sea,Military - French Navy,L-72,Toulon - Algiers,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",02:30,Zeppelin Dixmunde (airship)
1.0,,-1452355200,1.0,,0.0,"Egbert, WY",US Aerial Mail Service,315,,,,De Havilland DH-4
1.0,,-1445961600,1.0,,0.0,"Grampian, Pennsylvania",US Aerial Mail Service,327,,,,De Havilland DH-4
3.0,1535,-1441814400,3.0,,0.0,Over the English Channel,KLM Royal Dutch Airlines,H-NABS,"Lympne, England - Rotterdam, The Netherlands",,,Fokker F.III
3.0,,-1437926400,3.0,,0.0,"Barranquilla, Colombia",SCADTA,A16,,,,Junkers F-13
1.0,,-1433260800,1.0,,0.0,United States,US Aerial Mail Service,297,,,,De Havilland DH-4
1.0,,-1424880000,1.0,,0.0,"Cabrerolles, France",Grands Express Aeriens,F-AFBD,,,,
1.0,,-1420992000,1.0,,0.0,"Goshen, Indiana",US Aerial Mail Service,311,,,,De Havilland DH-4
8.0,36,-1420732800,8.0,,0.0,"Purley, England",Imperial Airways,G-EBBX,,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",,de Havilland DH-34B
5.0,590,-1413129600,5.0,,0.0,"Near Tiflies, Georgia, USSR",Zakavia,R-RECA,,,,Junkers F-13
4.0,,-1410192000,4.0,,0.0,"Alicante, Spain",Grands Express Aeriens,,,,,Breguet 14
2.0,,-1407600000,2.0,,0.0,"Alicante, Spain",Lignes Aeriennes Latecoere,F-AFBB,,,,Breguet 14
4.0,KLM-2,-1404921600,4.0,,0.0,"Landrécies, France",KLM Royal Dutch Airlines,H-NABM,,Crashed in poor weather.,,Fokker (KLM)  F.III
2.0,,-1404835200,2.0,,0.0,"Alicante, Spain",Grands Express Aeriens,F-AHBH,,,,Lioré-et-Olivier H-13
1.0,,-1402761600,1.0,,0.0,"Rosas, Spain",Lignes Aeriennes Latecoere,F-AFBI,,,,Breguet 14
1.0,,-1402416000,1.0,,0.0,"Budapest, Hungary",CIDNA,,,,,Potez IX
43.0,,-1398873600,14.0,,0.0,"Caldwell, Ohio",Military - U.S. Navy,ZR-1,"Lakehurst, NJ - S.t Louis, MO","The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",05:30,Dirigible ZR-1 Shenandoah (airship)
3.0,,-1398528000,3.0,,0.0,"Toul, France",CIDNA,,,,,
1.0,,-1396454400,1.0,,0.0,"Nittany Mt, Ohio",US Aerial Mail Service,385,,,,De Havilland DH-4
2.0,,-1392652800,2.0,,0.0,"Off Boulogne-sur-Mer, France",Air Union,F-AMFY,,,,Farman F-60 Goliath
1.0,,-1384876800,1.0,,0.0,"Montpelier, Ohio",US Aerial Mail Service,,,,,Curtiss Carrier Pigeon
1.0,,-1382803200,1.0,,0.0,"Staaken, Germany",Deutche Lufthansa,,,,,Junkers F-13
1.0,,-1375545600,1.0,,0.0,English Channel,Air Union,F-ADAI,,,,Breguet 14
7.0,5307,-1372694400,7.0,,0.0,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,F-AFBT,Paris - Prague,Crashed while en route.,,Caudron C-61
2.0,4759,-1372176000,2.0,,0.0,"Wolvertem, Belgium",KLM Royal Dutch Airlines,H-NACC,,,,Fokker F-4
4.0,660,-1370880000,4.0,,0.0,"Juist, Germany",Deutsche Lufthansa,D-272,,Weather related.,,Junkers F-13
4.0,2,-1368720000,4.0,,0.0,"Hurst, Kent, England",Air Union,F-AIEB,,Crashed in adverse weather conditions.  Engine failure.,,Bleriot 155
5.0,,-1365350400,2.0,,0.0,"New York, New York",,,New York - Paris,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.,,Sikorsky S-25
4.0,1554,-1364313600,4.0,,0.0,"Bueren, Germany",Deutsche Lufthansa,D-468,,Weather related.,,Fokker FG III
12.0,W10/3,-1363190400,0.0,,0.0,English Channel,Imperial Airways,G-EBMS,,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",13:15,Handley Page W-10
3.0,,-1361376000,3.0,,0.0,"Cape Bojador, Morocco",Grands Express Aeriens,,,,,Breguet 14
1.0,,-1358352000,1.0,,0.0,"Medford, Oregon",PacifiAir Transport,2,,,,Ryan M-1
2.0,,-1356019200,2.0,,0.0,"Lille, France",KLM Royal Dutch Airlines,H-NADH,,,,Fokker F-VII
1.0,,-1350230400,1.0,,0.0,"Rabat, Morocco",Grands Express Aeriens,F-ALRA,,,,Breguet 14
3.0,86,-1349884800,3.0,,0.0,"Tambo, Qld, Australia",Qantas,G-AUED,,Stalled at low altitiude on approach to land,,de Havilland DH-9C
1.0,,-1347984000,1.0,,0.0,"King Hill, Idaho",Varney Air Lines,,,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,,
1.0,,-1347379200,1.0,,0.0,"Goshen, Indiana",US Aerial Mail Service,626,,,,Douglas M-4
2.0,1567,-1347379200,2.0,,0.0,"Floh, Germany",Deutsche Lufthansa,D-729,,Engine failure.,,Fokker FG III
3.0,,-1346515200,1.0,,0.0,"Algiers, Algeria",Air Union,,,,,SPCA Meteore 63
5.0,591,-1339084800,5.0,,0.0,"Amoneburg, Germany",Deutsche Lufthansa,D-206,,Engine failure.,,Junkers F-13
11.0,4993,-1336838400,1.0,,0.0,"Sevenoaks, England",KLM Royal Dutch Airlines,,Croydon - Schiphol,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",08:30,Fokker F-VIII
1.0,,-1335801600,1.0,,0.0,"Willington, Connecticut",Colonial Air Transport,,,,,Fokker Universal
12.0,4840,-1334592000,7.0,,0.0,"Hadley, New Jersey",Reynolds Airways,NC776,Sightseeing,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,,Fokker F-VII
4.0,30,-1334160000,2.0,,0.0,"Saale, Germany",Deutsche Lufthansa,D-1177,,Engine failure.,,BFW M-18
6.0,,-1334073600,6.0,,0.0,"Schleiz, Germany",Deutsche Lufthansa,D-585,Berlin - Munich,Broken wing strut.,10:00,Dornier Merkur
2.0,,-1332950400,2.0,,0.0,"Thies, Mauritania",Lignes Aeriennes Latecoere,F-AGBN,,,,Breguet 14
4.0,,-1330876800,4.0,,0.0,"New Brunswick, New Jersey",Colonial Air Transport,,,Went into a tailspin and crashed into a corn field,,Fairchild FC-2
1.0,,-1329408000,1.0,,0.0,"Strasburg, France",CIDNA,,,,,Farman F-121 Jabiru
6.0,798,-1329408000,6.0,,0.0,Over the Gulf of Finland,Aero O-Y,K-SALD,,,,Junkers F-13
1.0,,-1328284800,1.0,,0.0,"Corunna, Indiana",National Air Transport,,,,,Douglas M-4
2.0,,-1325952000,2.0,,0.0,"Almeria, Spain",Aeropostale,,,,,Breguet 14
1.0,,-1325779200,1.0,,0.0,"Abuerio, Spain",Aeropostale,F-AFGS,,,,Breguet 14
4.0,,-1325520000,4.0,,0.0,France,Latecoere Airlines,,,,,Latécoère 23
3.0,39,-1324828800,3.0,,0.0,"Near Canajoharie, New York",Colonial Western Airlines,,Minola - Albany - Buffalo,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..,,Fairchild FC-2
2.0,,-1324137600,2.0,,0.0,"Solis, Uruguay",Aeropostale,,,,,Latecoere 25
2.0,,-1323619200,2.0,,0.0,"Tarragona, Spain",Aeropostale,F-AHEQ,,,,Breguet 14
2.0,,-1323619200,1.0,,0.0,France,Aeropostale,,,,,Breguet 14
1.0,,-1323187200,1.0,,0.0,"Almeria, Spain",Aeropostale,F-AEEH,,,,Breguet 14
2.0,,-1320595200,1.0,,0.0,"Marquette, Nebraska",Boeing Air Transport,NC280,,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,,Boeing 40
10.0,,-1320076800,10.0,,0.0,"Rio de Janeiro, Brazil",,,,,,
2.0,,-1319385600,2.0,,0.0,"Off Cape Griz Nez, France",Air Union,F-AEFC,,,,Farman F-60 Goliath
2.0,,-1316188800,1.0,,0.0,"Federal, Wyoming",Boeing Air Transport,,,,,Boeing 40
9.0,,-1316016000,9.0,,0.0,"Minuesa, Spain",Iberia Airlines,M-CCCC,,Crashed in fog.,,Rohrbach Roland
1.0,,-1314460800,1.0,,0.0,,Aeropostale,F-AIMQ,,,,Latecoere 26
2.0,,-1314028800,2.0,,0.0,"Dearborn, Minnesota",Ford Air Freight Inc.,NC1492,,,,Ford 4
5.0,742,-1312819200,3.0,,0.0,"Radevormwald, Germany",Deutsche Lufthansa,D-583,,Pilot error.,,Junkers F-13
5.0,439,-1311177600,5.0,,0.0,"Frankfurt, Germany",Deutsche Lufthansa,D-74,,,,AEGK
1.0,,-1310486400,1.0,,0.0,"Lebo, Kansas",National Air Transport,,Chicago - Dallas,The mail plane flew into tornado like winds and crashed to the ground.,,Douglas M-4
6.0,760,-1308931200,6.0,,0.0,Over the Gulf of Finland,Aero O-Y,K-SALB,,,,Junkers F-13
4.0,9,-1308672000,4.0,,0.0,"Purley, England",Imperial Airways,G-EBLB,Testing,Crashed to the ground shortly after taking off killing two men and two women.,,Vickers 74 Vulcan
1.0,1533 (KLM-1),-1307721600,1.0,,0.0,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,H-NABR,,The plane crashed into the Waalhaven harbor.,,Fokker (KLM) F.III
7.0,4-AT-26,-1304956800,7.0,,0.0,"Near Port Townsend, BC, Canada",British Columbia Airways,G-CATX,Victoria - Seattle,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.,,Ford 4-AT-B Tri Motor
3.0,,-1304265600,3.0,,0.0,"Toul, France",CIDNA,,,,,Bleriot Spad 56
2.0,,-1304092800,1.0,,0.0,"Adelaide Hills, Australia",Qantas,G-AUHI,,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire.",,de Havilland DH.50J
7.0,809,-1304092800,7.0,,0.0,"Pocatello, Idaho",National Parks Airways,NC7242,,,,Fokker Super Universal
3.0,1531,-1303920000,3.0,,0.0,"Heroldbach, Germany",Deutsche Lufthansa,D-180,,Engine failure.,,Fokker FG III
3.0,,-1301500800,3.0,,0.0,"Gerona, Spain",Aeropostale,,,,,Breguet 14
1.0,,-1300291200,1.0,,0.0,"Polk, Pennsylvania",National Air Transport,,,The mail plane crashed and burned during the night.,,Douglas M-4
2.0,,-1299168000,1.0,,0.0,"Valence, France",Air Union,F-AIMN,,,,Bleriot Spad 56
2.0,,-1297872000,1.0,,0.0,Off Gibraltar,Aeropostale,F-AISN,,,,Latecoere 32
3.0,46,-1297094400,3.0,,0.0,"Edgerton, Ohio",Universal Airlines,,Cleveland - Chicago,The mail plane crashed in a heavy snow storm.,,Hamilton H-47
1.0,,-1297008000,1.0,,0.0,"Bristolville, Ohio",National Air Transport,,,The mail plane crashed in a snow storm.,,Douglas M-4
3.0,,-1297008000,3.0,,0.0,"Edgerton, Ohio",Continental Air Lines,,Cleveland - Louisville,The mail plane crashed in a heavy snow storm,,Travel Air 4000
5.0,4-AT-47,-1296489600,5.0,,0.0,"Spur, Texas",Sunbeam Air Transport Co.,NC7862,San Antonio - Amarillo - Tulsa - Denver,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.,10:00,Ford 4-AT-B Tri Motor
14.0,063,-1296316800,14.0,,0.0,Brazil,Syndicato Condor,P-BACA,,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",08:00,Dornier Wal
6.0,,-1296230400,6.0,,0.0,"Rio de Janeiro, Brazil",,,,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.,,Junkers G24
4.0,3005,-1295625600,3.0,,0.0,"Letzlingen, Germany",Deutsche Lufthansa,D-1473,,Weather related.,,Junkers G-31
1.0,,-1294848000,1.0,,0.0,"Huron, Ohio",National Air Transport,,Cleveland - Chicago,The mail plane crashed into an apple tree during a snow storm.,,Douglas M-4
4.0,,-1294588800,4.0,,0.0,"Chattanooga, Tennessee",Interstate Airlines,,,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.,,Fairchild FC-2
3.0,40,-1293897600,2.0,,0.0,"Reims, France",CIDNA,F-AEHX,,Crashed into high ground in fog.,,Blériot Spad 66
1.0,,-1293465600,1.0,,0.0,"Stafford Springs, Connecticut",Colonial Air Transport,,,,,Fairchild FC-2
1.0,,-1292342400,1.0,,0.0,"Cove, Oregon",Varney Air Lines,,,While attempting to make an emergency landing on the Minam river the plane hit a bolder,,Stearman C-38
9.0,053,-1291737600,2.0,,0.0,"Near Corfu, Greece",Aeroespresso,I-AZDA,,,,CMASA Wal
1.0,,-1291219200,1.0,,0.0,"Morgantown, West Virginia",Skyline Transportation Company,,,,,Travel Air 4000
2.0,,-1291219200,2.0,,0.0,Off Morocco,Aeropostale,,,,,Latecoere 26
15.0,4-AT-41,-1287331200,14.0,,0.0,"Newark, New Jersey",Colonial Western Airlines,NC7683,Sightseeing,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.,,Ford 5-AT-B Tri Motor
4.0,617,-1286208000,4.0,,0.0,"Near Beaumont, California",New Standard Airlines,NC7888,Los Angeles - Phoenix - El Paso,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",09:18,Fokker F-VIIA
6.0,4-AT-010,-1284307200,6.0,,0.0,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,NC9636 / 28-037,San Diego - Phoenix,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.",,Ford 5-AT-B Tri-Motor / B-PW-9D
2.0,,-1281974400,2.0,,0.0,Hungary,MALERT,H-MABC,,,,Fokker F-III
5.0,,-1281628800,4.0,,0.0,Algiers,Aeropostale,F-AISX,,,,Cams 53
5.0,,-1279987200,2.0,,0.0,"Santiago de Cuba, Cuba",Pan American Airways,NC9700,Santiago de Cuba - Havana,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.,,Fokker F-X
2.0,,-1279641600,1.0,,0.0,"Barcelona, Spain",Aeropostale,F-AFEJ,,,,Breguet 14
13.0,W10/4,-1279382400,7.0,,0.0,"Off Dungeness, England",Imperial Airways,G-EBMT,,The plane was over the English Channel when an engine failed. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named 'City of Ottawa.',,Handley Page W-10
8.0,5-AT-002,-1278777600,1.0,,0.0,"St. Paul, Minnesota",Northwest Orient Airlines,NC7416,St. Paul - Minneapolis,Crashed near Indian Mounds park shortly after taking off. Triple engine failure.,,Ford 5-AT-B Tri-Motor
5.0,151,-1278345600,5.0,,0.0,"Lake Constance, Switzerland",Aero Lloyd,D-1620,,The aircraft crashed into lake Constance while attempting to landing.,,Domier Delphin III
1.0,,-1278345600,1.0,,0.0,"Columbus, Ohio",Continental Air Lines,,,,,Travel Air 4000
